"x","y"
"15.125","22"
"15.375","32"
"15.625","28"
"15.875","14"
"16.125","21"
"16.375","11"
"16.625","18"
"16.875","15"
"17.125","18"
"17.375","12"
"17.625","13"
"17.875","11"
"18.125","13"
"18.375","16"
"18.625","12"
"18.875","11"
"19.125","12"
"19.375","10"
"19.625","7"
"19.875","8"
"20.125","8"
"20.375","8"
"20.625","8"
"20.875","11"
"21.125","7"
"21.375","10"
"21.625","6"
"21.875","6"
"22.125","8"
"22.375","13"
"22.625","4"
"22.875","8"
"23.125","6"
"23.375","6"
"23.625","4"
"23.875","4"
"24.125","2"
"24.375","2"
"24.625","2"
"24.875","9"
"25.125","5"
"25.375","3"
"25.625","4"
"25.875","2"
"26.125","6"
"26.375","6"
"26.625","7"
"26.875","3"
"27.125","3"
"27.375","3"
"27.625","5"
"27.875","4"
"28.125","2"
"28.375","6"
"28.625","3"
"28.875","4"
"29.125","6"
"29.375","2"
"29.625","3"
"29.875","3"
"30.125","6"
"30.375","5"
"30.625","3"
"30.875","4"
"31.125","2"
"31.375","4"
"31.625","5"
"31.875","5"
"32.125","4"
"32.375","2"
"32.625","8"
"32.875","1"
"33.125","9"
"33.375","4"
"33.625","3"
"33.875","2"
"34.125","3"
"34.375","1"
"34.875","4"
"35.375","2"
"35.625","1"
"35.875","1"
"36.125","1"
"36.375","1"
"36.625","1"
"36.875","4"
"37.125","1"
"37.375","2"
"37.625","1"
"38.375","4"
"38.625","2"
"38.875","2"
"39.375","2"
"39.625","5"
"39.875","2"
"40.125","199"
